gbifID,occurrenceID,scientificName,verbatimScientificName,individualCount,depth,locality,habitat,month,year
4853566482,CCY-004146,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566481,CCY-004266,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,12,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566480,CCY-004145,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,10,0,Sisal,zona intermareal de la playa,6,2020
4853566479,CCY-004265,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,12,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566478,CCY-004144,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Sisal,zona intermareal de la playa,6,2020
4853566477,CCY-004264,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566476,CCY-004143,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566475,CCY-004263,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566474,CCY-004142,"Cassidinidea ovalis (Say, 1818)",Cassidinidea ovalis,1,0.55,Heroica Ciudad de Champotón,zona submareal de la playa,6,2019
4853566473,CCY-004262,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,10,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566472,CCY-004141,"Heterodina mosaica (Kensley & Schotte, 1987)",Heterodina mosaica,7,0,Heroica Ciudad de Champotón,zona intermareal de la playa,6,2019
4853566471,CCY-004261,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566470,CCY-004140,"Excirolana mayana (Ives, 1891)",Excirolana mayana,3,0,Heroica Ciudad de Champotón,zona intermareal de la playa,6,2019
4853566469,CCY-004260,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566468,CCY-004099,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,6,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566467,CCY-004090,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,17,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566466,CCY-004098,Decapoda,Decapoda,1,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566465,CCY-004097,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,7,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
